"RegionName","RegionCode","AvailableZoneCount","Zones","PhysicalMapping","ZoneRedundancy","SubscriptionName","SubscriptionId"
"East US","eastus","0","None","Mapped to separate physical data centers in East US region","Each zone has independent power, cooling, and networking","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"South Central US","southcentralus","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"West US 2","westus2","0","None","Mapped to separate physical data centers in West US 2 region","Each zone has independent power, cooling, and networking","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"West US 3","westus3","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Australia East","australiaeast","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Southeast Asia","southeastasia","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"North Europe","northeurope","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Sweden Central","swedencentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"UK South","uksouth","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"West Europe","westeurope","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Central US","centralus","0","None","Mapped to separate physical data centers in Central US region","Each zone has independent power, cooling, and networking","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"South Africa North","southafricanorth","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Central India","centralindia","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"East Asia","eastasia","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Indonesia Central","indonesiacentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Japan East","japaneast","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Japan West","japanwest","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Korea Central","koreacentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"New Zealand North","newzealandnorth","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Canada Central","canadacentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"France Central","francecentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Germany West Central","germanywestcentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Italy North","italynorth","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Norway East","norwayeast","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Poland Central","polandcentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Spain Central","spaincentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Switzerland North","switzerlandnorth","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Mexico Central","mexicocentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"UAE North","uaenorth","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Brazil South","brazilsouth","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Israel Central","israelcentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Qatar Central","qatarcentral","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Central US (Stage)","centralusstage","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"East US 2 (Stage)","eastus2stage","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"North Central US (Stage)","northcentralusstage","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"West US (Stage)","westusstage","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Asia","asia","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Asia Pacific","asiapacific","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Australia","australia","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
"Brazil","brazil","0","None","No AZ information available for this region","N/A","ALZ-A2","905dcad2-8ab5-4130-8f48-5813c4e672ca"
